año,cod_region,region,demanda_total_GWh,demanda_R_GWh,demanda_C_GWh,demanda_P_GWh,demanda_I_GWh,demanda_T_GWh
2025,1,TARAPACÁ,2715.8191212820298,223.3969411681045,66.21311954806828,127.5022395860203,2242.702973307922,1.3352882560161237
2025,2,ANTOFAGASTA,17592.365176296847,461.2336745634733,137.36903319823085,189.1786246150332,16384.28889342984,297.4409988705752
2025,3,ATACAMA,6271.209623268444,171.16049855909034,96.52532971307609,229.6653466229601,5700.5634428120065,20.39421758699583
2025,4,COQUIMBO,2887.045980352074,531.0520970464711,84.93236942424612,153.63843849340964,2028.4531679127576,0.7759978137187109
2025,5,VALPARAÍSO,5215.365292679679,1725.444352231392,900.8767789750617,392.53978487215153,2082.8745705835845,75.53922025806719
2025,6,LIBERTADOR GENERAL BERNARDO O'HIGGINS,4571.489868638965,800.3394902558824,308.6956299388037,130.45795950549095,3242.0001864896826,14.266505096139147
2025,7,MAULE,2775.6177551810906,984.4026435767759,389.9415254774348,183.5796176186252,1161.3386795852407,8.725377362480051
2025,8,BIOBÍO,6498.062016601856,1252.8224146948635,657.1308419184941,298.7952622156409,4209.103963311833,31.25167047764282
2025,9,LA ARAUCANÍA,2597.1847461511184,805.5815915941886,397.3869673529742,123.7821454411266,1248.9354616614842,8.614128963474922
2025,10,LOS LAGOS,4156.73393865905,1047.3783311954862,1134.871453310108,128.17854216949664,1918.8211878012062,9.222910431461054
2025,11,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,276.81042144337164,107.33931301794145,62.82441984393394,10.965472076584911,98.89635032016015,0.3826193294871889
2025,12,MAGALLANES Y DE LA ANTÁRTICA CHILENA,534.0744530713228,137.38070616290588,109.85107108635464,23.585260264122176,111.68431144583403,133.91041796154192
2025,13,METROPOLITANA DE SANTIAGO,25034.67523592542,8019.965583474018,5300.435887340507,1010.5314414867773,10805.53390942522,623.4343952977785
2025,14,LOS RÍOS,1625.0711761348898,382.10532658993856,244.00715210235415,31.150606031833554,957.5340083290062,0.44672410166792875
2025,15,ARICA Y PARINACOTA,368.51708132544024,164.4359367635999,79.56526686427773,9.077602560211702,104.75492461850476,0.11997169350360325
2025,16,ÑUBLE,1657.225690249117,506.37720058241746,108.40267749928887,6.084585323500863,1011.8773455447266,3.432526329194358
